,11135530,9660,Brakel,New-real-estate-project-houses,Unnamed: 4,From 389000 To 498500,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
74,11104089,4671,Blegny,House,Apartment-block,289000,5.0,267.0,,0.0,,35.0,90.0,366.0,2.0,0.0,Good
75,11103752,9660,Brakel,New-real-estate-project-houses,,From 389000 To 498500,,,,,,,,,,,
76,11104627,1050,Ixelles,New-real-estate-project-houses,,From 1200000 To 1375000,,,,,,,,,,,
77,11104838,1082,Berchem-sainte-agathe,New-real-estate-project-houses,,From 788000 To 899259,,,,,,,,,,,
78,11103541,2610,Antwerpen-wilrijk,House,Apartment-block,865000,8.0,420.0,,0.0,,18.0,85.0,280.0,2.0,0.0,Good
79,11128807,9890,Gavere,House,,365000,3.0,174.0,,0.0,,9.0,15.0,198.0,2.0,0.0,As new
80,11128809,9890,Gavere,House,,370000,3.0,176.0,,0.0,,9.0,15.0,200.0,2.0,0.0,As new
81,11118534,1420,Braine-lalleud,House,,450000,5.0,160.0,,0.0,,40.0,60.0,260.0,3.0,0.0,To be done up
82,11128805,9890,Gavere,House,,392000,3.0,197.0,,0.0,,10.0,16.0,223.0,3.0,0.0,As new
83,11121663,2610,Wilrijk,House,,399000,2.0,190.0,,,,,,94.0,,,Good
84,11127427,1000,Bruxelles,House,Apartment-block,995000,10.0,630.0,,0.0,,30.0,,200.0,2.0,0.0,Good
85,11128643,1090,Jette,House,Mixed-use-building,1250000,8.0,350.0,,0.0,,,,200.0,2.0,,Good
86,11126031,9000,Gent,House,,1084000,6.0,312.0,,0.0,,,,315.0,3.0,,To be done up
87,11132036,4260,Fallais,House,,329000,3.0,248.0,,,,25.0,1000.0,1482.0,3.0,,Good
88,11141163,1300,Wavre,Apartment,,165000,1.0,44.0,,0.0,,,,,,,Good
89,11141162,8680,Koekelare,Apartment,,195000,2.0,,,,,,,,,,Good
90,11141161,5030,Gembloux,Apartment,,369000,2.0,123.0,,0.0,,8.0,,,,0.0,As new
91,11141160,2370,Arendonk,Appartment,Penthouse,475000,2.0,125.0,,,,56.0,,,3.0,,Good
92,11132317,4420,Montegnee,House,,185000,4.0,158.0,,,,,60.0,177.0,3.0,,To renovate
93,11141159,2930,Brasschaat,House,,449000,2.0,156.0,,,,,,544.0,4.0,,To renovate
94,11138017,1570,Galmaarden,House,,209000,3.0,308.0,,,,,,600.0,2.0,,To renovate
95,11141152,2160,Wommelgem,Apartment,,219000,2.0,91.0,,,,,,,2.0,,To be done up
96,11141156,5150,Floreffe,House,,199000,3.0,150.0,,0.0,,,400.0,536.0,3.0,,To renovate
97,11141150,2300,Turnhout,Apartment,,199000,2.0,91.0,,0.0,,,,,,,Good
98,11141141,3620,Lanaken,House,,169000,3.0,101.0,,0.0,,,,254.0,4.0,,To renovate
99,11141139,1030,Schaerbeek,Apartment,,349000,3.0,120.0,,0.0,,1.0,,,2.0,,As new
100,10985408,4140,Sprimont%20dolembreux,House,Mixed-use-building,549000,4.0,325.0,,,,30.0,600.0,1298.0,4.0,,Good
101,11141137,2570,Duffel,House,,335000,3.0,156.0,,,,,,180.0,2.0,,Just renovated
102,11141134,6600,Bastogne,House,,399000,4.0,190.0,,0.0,,45.0,,333.0,2.0,,As new
103,11141133,6840,Neufch%c3%a2teau,House,,330000,4.0,203.0,,0.0,,,,2337.0,4.0,,Good
104,11141128,1760,Roosdaal,House,,497000,4.0,180.0,,0.0,,9.0,,,3.0,0.0,As new
105,11141127,2140,Antwerp,Apartment,,330000,4.0,203.0,,0.0,,,,2337.0,4.0,,Good
106,11141123,2900,Schoten,Apartment,,1140000,3.0,236.0,,,,,,,,1.0,As new
107,11141126,2620,Hemiksem,House,,299000,2.0,100.0,,,,,80.0,,2.0,,
108,11003837,2170,Merksem,Apartment,,209000,2.0,85.0,,0.0,,,,,,,Good
109,11141091,7170,Manage,House,,265000,6.0,200.0,,0.0,,,,,3.0,,Good
110,11141088,6044,Roux,House,,159000,3.0,126.0,,0.0,,,,,2.0,,Good
111,11141095,2550,Kontich,House,,1285000,6.0,355.0,,,,,,4540.0,4.0,,Good
112,11141082,2000,Antwerp,House,,650000,8.0,240.0,,0.0,,,,65.0,2.0,0.0,To renovate
113,11141072,1180,Uccle,Apartment,,530000,2.0,104.0,,0.0,,9.0,,,3.0,0.0,Just renovated
114,11141070,1180,Uccle,Appartment,Penthouse,525000,2.0,88.0,,0.0,,14.0,,,3.0,0.0,Just renovated
115,11140976,2480,Dessel,House,,305000,3.0,134.0,,,,,,683.0,4.0,,
116,11141068,1180,Uccle,Appartment,Penthouse,650000,2.0,122.0,,0.0,,24.0,,,2.0,0.0,Just renovated
117,11140975,2400,Mol,House,,469000,3.0,191.0,,,,,,696.0,4.0,,As new
118,10858078,4420,Saint-nicolas,House,,239000,3.0,130.0,,0.0,,25.0,55.0,200.0,2.0,0.0,Good
119,11094364,4682,Oupeye,House,,239000,3.0,166.0,,0.0,,35.0,145.0,436.0,4.0,0.0,As new
120,11038616,2910,Essen,House,,240900,3.0,114.0,,0.0,,,200.0,330.0,2.0,0.0,To renovate
121,11092112,4101,Seraing,House,,245000,3.0,125.0,,0.0,,40.0,60.0,210.0,2.0,0.0,Just renovated
122,11140971,1180,Uccle,New-real-estate-project-apartments,,From 150000 To 980000,,,,,,,,,,,
123,11084726,4350,Remicourt,House,,240000,3.0,150.0,,0.0,,,350.0,480.0,3.0,,Good
124,11063896,9600,Ronse,House,,245000,4.0,146.0,,0.0,,13.0,161.0,250.0,2.0,0.0,Good
125,10997136,3970,Leopoldsburg,New-real-estate-project-houses,,From 247000 To 297000,,,,,,,,,,,
126,10629774,4100,Seraing,House,,249000,3.0,122.0,,0.0,,34.0,130.0,267.0,3.0,,Good
127,10961466,4100,Seraing,House,,249000,4.0,153.0,,0.0,,58.0,148.0,281.0,2.0,0.0,To be done up
128,10968807,4900,Spa,House,,249000,3.0,97.0,,0.0,,8.0,15.0,148.0,2.0,0.0,Good
129,10924438,4683,Oupeye,House,,249000,4.0,143.0,,0.0,,64.0,45.0,376.0,4.0,0.0,Good
130,11004029,4690,Bassenge,House,,249000,3.0,194.0,,0.0,,64.0,160.0,165.0,3.0,0.0,Good
131,10943559,4500,Huy,House,,249500,4.0,200.0,,,,15.0,3542.0,3692.0,3.0,,To be done up
132,10874763,4430,Ans,House,,259000,5.0,213.0,,0.0,,66.0,110.0,261.0,2.0,0.0,Good
133,10768012,4032,Chenee,House,,260000,6.0,430.0,,,,8.0,720.0,915.0,2.0,,To renovate
134,10927220,4219,Wasseiges,House,,260000,2.0,90.0,,0.0,,20.0,300.0,405.0,2.0,,As new
